Topic,Word,POS,Transcription,,,,,
حمل‌ونقل,قایق,NOUN,qæyeq,,,,,
حمل‌ونقل,ویلچر,NOUN,viːlcer,,,,,
حمل‌ونقل,کامیون,NOUN,kæmiːyon,,,,,
حمل‌ونقل,ماشین,NOUN,mæsiːn,,,,,
جامعه,مردم,NOUN,mærdom,,,,,
جامعه,قانون,NOUN,qænuːn,,,,,
جامعه,فرهنگ,NOUN,færhænɡ,,,,,
جامعه,دولت,NOUN,dowlæt,,,,,
جامعه,جامعه,NOUN,jæmee,,,,,
جامعه,اجتماع,NOUN,ejtemæ,,,,,
جامعه,جمعیت,NOUN,jæmiːyyæt,,,,,
جامعه,گروه,NOUN,ɡoruːh,,,,,
جامعه,نظام,NOUN,nezæm,,,,,
جامعه,قشر,NOUN,qesr,,,,,
جامعه,حکومت,NOUN,hokuːmæt,,,,,
جامعه,ملت,NOUN,mellæt,,,,,
جامعه,شهروند,NOUN,sæhrvænd,,,,,
جامعه,امنیت,NOUN,æmniːyyæt,,,,,
جامعه,سنت,NOUN,sent,,,,,
جامعه,هویت,NOUN,hoviːyyæt,,,,,
جامعه,آداب,NOUN,ædæb,,,,,
جامعه,رسوم,NOUN,rosuːm,,,,,
جامعه,اقتصاد,NOUN,eqtesæd,,,,,
جامعه,فقر,NOUN,fæqr,,,,,
جامعه,بازار,NOUN,bæzær,,,,,
جامعه,بیکاری,NOUN,biːkæriː,,,,,
جامعه,همکاری,NOUN,hæmkæriː,,,,,
جامعه,همبستگی,NOUN,hæmbæsteɡiː,,,,,
جامعه,حقوق,NOUN,hoquːq,,,,,
جامعه,تبعیض,NOUN,tæbiːz,,,,,
پوشاک,لباس,NOUN,lebæs,,,,,
پوشاک,کفش,NOUN,kæfs,,,,,
پوشاک,پیراهن,NOUN,piːræhæn,,,,,
پوشاک,شلوار,NOUN,sælvær,,,,,
پوشاک,کلاه,NOUN,kolæh,,,,,
پوشاک,بلوز,NOUN,boluːz,,,,,
پوشاک,کت,NOUN,kot,,,,,
پوشاک,پالتو,NOUN,pæltow,,,,,
پوشاک,کاپشن,NOUN,kæpsæn,,,,,
پوشاک,ژاکت,NOUN,zækæt,,,,,
پوشاک,دامن,NOUN,dæmæn,,,,,
پوشاک,شلوارک,NOUN,sælværæk,,,,,
پوشاک,صندل,NOUN,sændæl,,,,,
پوشاک,بوت,NOUN,buːt,,,,,
پوشاک,دمپایی,NOUN,dæmpæyiː,,,,,
پوشاک,شورت,NOUN,sort,,,,,
پوشاک,سوتین,NOUN,suːtiːn,,,,,
پوشاک,زیرپوش,NOUN,ziːrpuːs,,,,,
پوشاک,شال,NOUN,sæl,,,,,
پوشاک,روسری,NOUN,ruːsæriː,,,,,
پوشاک,مقنعه,NOUN,mæqnæe,,,,,
پوشاک,مانتو,NOUN,mænto,,,,,
پوشاک,چادر,NOUN,cædor,,,,,
پوشاک,عبا,NOUN,æbæ,,,,,
پوشاک,جوراب,NOUN,juːræb,,,,,
پوشاک,دستکش,NOUN,dæstkes,,,,,
پوشاک,جامه,NOUN,jæme,,,,,
پوشاک,کراوات,NOUN,kerævæt,,,,,
مشاغل,معلم,NOUN,moællem,,,,,
مشاغل,پزشک,NOUN,pezesk,,,,,
مشاغل,مهندس,NOUN,mohændes,,,,,
مشاغل,کارگر,NOUN,kærɡær,,,,,
مشاغل,دانشجو,NOUN,dænesjuː,,,,,
مشاغل,استاد,NOUN,ostæd,,,,,
مشاغل,مربی,NOUN,moræbbiː,,,,,
مشاغل,مدرس,NOUN,mædræs,,,,,
مشاغل,پرستار,NOUN,pæræstær,,,,,
مشاغل,دندانپزشک,NOUN,dændænpezesk,,,,,
مشاغل,داروساز,NOUN,dæruːsæz,,,,,
مشاغل,ماما,NOUN,mæmæ,,,,,
مشاغل,تکنسین,NOUN,teknesiːæn,,,,,
مشاغل,برقکار,NOUN,bærqkær,,,,,
مشاغل,مکانیک,NOUN,mekæniːk,,,,,
مشاغل,کارمند,NOUN,kærmænd,,,,,
مشاغل,مدیر,NOUN,modiːr,,,,,
مشاغل,منشی,NOUN,monsiː,,,,,
مشاغل,حسابدار,NOUN,hesæbdær,,,,,
مشاغل,اپراتور,NOUN,operætor,,,,,
مشاغل,نجار,NOUN,næjjær,,,,,
مشاغل,بنا,NOUN,bænæ,,,,,
مشاغل,جوشکار,NOUN,juːskær,,,,,
مشاغل,نقاش,NOUN,næqqæs,,,,,
مشاغل,فروشنده,NOUN,foruːsænde,,,,,
مشاغل,صندوقدار,NOUN,sændoqdær,,,,,
مشاغل,تاجر,NOUN,tæjer,,,,,
مشاغل,آشپز,NOUN,æspæz,,,,,
مشاغل,نانوا,NOUN,nænvæ,,,,,
مشاغل,قناد,NOUN,qænnæd,,,,,
مشاغل,پیشخدمت,NOUN,piːsxedmæt,,,,,
مشاغل,راننده,NOUN,rænænde,,,,,
مشاغل,خلبان,NOUN,xælæbæn,,,,,
مشاغل,ملوان,NOUN,mælævæn,,,,,
مشاغل,ناخدا,NOUN,næxodæ,,,,,
مشاغل,هنرمند,NOUN,honærmænd,,,,,
مشاغل,بازیگر,NOUN,bæziːɡær,,,,,
مشاغل,خواننده,NOUN,xænænde,,,,,
مشاغل,نویسنده,NOUN,neviːsænde,,,,,
مشاغل,خبرنگار,NOUN,xæbærneɡær,,,,,
مشاغل,پلیس,NOUN,poliːs,,,,,
مشاغل,افسر,NOUN,æfsær,,,,,
مشاغل,نگهبان,NOUN,neɡæhbæn,,,,,
مشاغل,وکیل,NOUN,vækiːl,,,,,
مشاغل,قاضی,NOUN,qæziː,,,,,
مشاغل,مشاور,NOUN,mosæver,,,,,
مشاغل,سیاستمدار,NOUN,siːyæsætmædær,,,,,
مشاغل,دانشمند,NOUN,dænesmænd,,,,,
مشاغل,فیزیکدان,NOUN,fiːziːkdæn,,,,,
مشاغل,پژوهشگر,NOUN,pæzuːhesɡær,,,,,
حروف اضافه,از,ADPOSITION,æz,,,,,
حروف اضافه,به,ADPOSITION,be,,,,,
حروف اضافه,با,ADPOSITION,bæ,,,,,
حروف اضافه,در,ADPOSITION,dær,,,,,
حروف اضافه,برای,ADPOSITION,bæræye,,,,,
حروف اضافه,روی,ADPOSITION,ræviːyy,,,,,
حروف اضافه,زیر,ADPOSITION,ziːr,,,,,
حروف اضافه,بدون,ADPOSITION,beduːne,,,,,
حروف اضافه,درباره,ADPOSITION,dærbære,,,,,
حروف اضافه,مثل,ADPOSITION,mæsæl,,,,,
حروف اضافه,داخل,ADPOSITION,dæxel,,,,,
حروف اضافه,بیرون,ADPOSITION,biːruːn,,,,,
حروف اضافه,کنار,ADPOSITION,kenær,,,,,
حروف اضافه,مقابل,ADPOSITION,moqæbel,,,,,
حروف اضافه,بین,ADPOSITION,bæyyen,,,,,
حروف اضافه,جلو,ADPOSITION,jelov,,,,,
حروف اضافه,پشت,ADPOSITION,post,,,,,
حروف اضافه,دور,ADPOSITION,dowr,,,,,
حروف اضافه,هنگام,ADPOSITION,henɡæm,,,,,
حروف اضافه,تا,ADPOSITION,tæ,,,,,
حروف اضافه,طی,ADPOSITION,teyy,,,,,
حروف اضافه,خلاف,ADPOSITION,xælæf,,,,,
حروف اضافه,طبق,ADPOSITION,tæbæq,,,,,
اعداد,صفر,DETERMINER,sefr,,,,,
اعداد,یک,DETERMINER,yek,,,,,
اعداد,دو,DETERMINER,dæv,,,,,
اعداد,سه,DETERMINER,se,,,,,
اعداد,چهار,DETERMINER,cæhær,,,,,
اعداد,پنج,DETERMINER,pænj,,,,,
اعداد,شش,DETERMINER,ses,,,,,
اعداد,هفت,DETERMINER,hæft,,,,,
اعداد,هشت,DETERMINER,hæst,,,,,
اعداد,نه,DETERMINER,noh,,,,,
اعداد,ده,DETERMINER,dæh,,,,,
اعداد,یازده,DETERMINER,yæzdæh,,,,,
اعداد,دوازده,DETERMINER,dævæzdæh,,,,,
اعداد,سیزده,DETERMINER,siːzdæh,,,,,
واحدهای اندازه‌گیری,متر,NOUN,metr,,,,,
واحدهای اندازه‌گیری,کیلو,NOUN,kiːluː,,,,,
واحدهای اندازه‌گیری,لیتر,NOUN,liːtr,,,,,
واحدهای اندازه‌گیری,درجه,NOUN,dæræje,,,,,
واحدهای اندازه‌گیری,کیلومتر,NOUN,kiːluːmetr,,,,,
واحدهای اندازه‌گیری,اینچ,NOUN,iːnc,,,,,
واحدهای اندازه‌گیری,گرم,NOUN,ɡærm,,,,,
واحدهای اندازه‌گیری,تن,NOUN,ton,,,,,
واحدهای اندازه‌گیری,گالن,NOUN,ɡælon,,,,,
واحدهای اندازه‌گیری,بشکه,NOUN,boske,,,,,
واحدهای اندازه‌گیری,ثانیه,NOUN,sæniːye,,,,,
واحدهای اندازه‌گیری,دقیقه,NOUN,dæqiːqe,,,,,
واحدهای اندازه‌گیری,روز,NOUN,ruːz,,,,,
واحدهای اندازه‌گیری,هفته,NOUN,hæfte,,,,,
واحدهای اندازه‌گیری,فارنهایت,NOUN,færenhæyt,,,,,
واحدهای اندازه‌گیری,هکتار,NOUN,hektær,,,,,
واحدهای اندازه‌گیری,جفت,NOUN,joft,,,,,
واحدهای اندازه‌گیری,بسته,NOUN,bæste,,,,,
واحدهای اندازه‌گیری,عدد,NOUN,ædæd,,,,,
ماه‌های سال,فروردین,DATE,færværdiːn,,,,,
ماه‌های سال,اردیبهشت,DATE,ordiːbehest,,,,,
ماه‌های سال,خرداد,DATE,xordæd,,,,,
ماه‌های سال,تیر,DATE,tiːr,,,,,
ماه‌های سال,مرداد,DATE,mordæd,,,,,
ماه‌های سال,شهریور,DATE,sæhriːvær,,,,,
ماه‌های سال,مهر,DATE,mehr,,,,,
ماه‌های سال,آبان,DATE,æbæn,,,,,
ماه‌های سال,آذر,DATE,æzær,,,,,
ماه‌های سال,دی,DATE,dey,,,,,
ماه‌های سال,بهمن,DATE,bæhmæn,,,,,
ماه‌های سال,اسفند,DATE,esfænd,,,,,
مواد,چوب,NOUN,tʃuːb,,,,,
مواد,طلا,NOUN,tlɒː,,,,,
مواد,فلز,NOUN,flz,,,,,
مواد,نقره,NOUN,nɣɾh,,,,,
مواد,پلاستیک,NOUN,plɒːstiːk,,,,,
مواد,سنگ,NOUN,snɡ,,,,,
مواد,شیشه,NOUN,ʃiːʃh,,,,,
مواد,سیمان,NOUN,siːmɒːn,,,,,
مواد,آهن,NOUN,ɒːhn,,,,,
مواد,آجر,NOUN,ɒːdʒɾ,,,,,
مواد,گچ,NOUN,ɡtʃ,,,,,
مواد,بتن,NOUN,btn,,,,,
مواد,مس,NOUN,ms,,,,,
مواد,فولاد,NOUN,fuːlɒːd,,,,,
مواد,آلومینیوم,NOUN,ɒːluːmiːniːuːm,,,,,
مواد,خاک,NOUN,xɒːk,,,,,
مواد,چرم,NOUN,tʃɾm,,,,,
مواد,شن,NOUN,ʃn,,,,,
مواد,پشم,NOUN,pʃm,,,,,
مواد,ماسه,NOUN,mɒːsh,,,,,
مواد,پارچه,NOUN,pɒːɾtʃh,,,,,
مواد,کتان,NOUN,ktɒːn,,,,,
مواد,پنبه,NOUN,pnbh,,,,,
مواد,ابریشم,NOUN,ɒːbɾiːʃm,,,,,
مواد,آب,NOUN,ɒːb,,,,,
مواد,گاز,NOUN,ɡɒːz,,,,,
مواد,نفت,NOUN,nft,,,,,
محل‌های کار,دفتر,NOUN,dæfˈtær,,,,,
محل‌های کار,اداره,NOUN,edɒːˈɾe,,,,,
محل‌های کار,مدرسه,NOUN,mædɾæˈse,,,,,
محل‌های کار,دانشگاه,NOUN,dɒːneʃˈgɒːh,,,,,
محل‌های کار,بیمارستان,NOUN,biːmɒːɾesˈtɒːn,,,,,
محل‌های کار,کارخانه,NOUN,kɒːɾxɒːˈne,,,,,
محل‌های کار,فروشگاه,NOUN,foɾuːʃˈgɒːh,,,,,
محل‌های کار,رستوران,NOUN,ɾestʊˈɾɒːn,,,,,
محل‌های کار,فرودگاه,NOUN,foɾuːdˈgɒːh,,,,,
محل‌های کار,انبار,NOUN,ænbɒːɾ,,,,,
محل‌های کار,مزرعه,NOUN,mæzɾæˈʔe,,,,,
محل‌های کار,اورژانس,NOUN,oːɾʒɒːns,,,,,
محل‌های کار,باغ,NOUN,bɒːɣ,,,,,
محل‌های کار,پایگاه,NOUN,pɒːjˈgɒːh,,,,,
محل‌های کار,گلخانه,NOUN,golxɒːˈne,,,,,
محل‌های کار,پادگان,NOUN,pɒːdˈgɒːn,,,,,
محل‌های کار,آزمایشگاه,NOUN,ɒːzmɒːjeʃˈgɒːh,,,,,
محل‌های کار,پژوهشگاه,NOUN,pæʒuːheʃˈgɒːh,,,,,
محل‌های کار,زندان,NOUN,zendɒːn,,,,,
محل‌های کار,شهرداری,NOUN,ʃæhɾdɒːˈɾi,,,,,
محل‌های کار,وزارتخانه,NOUN,vezɒːɾætˈxɒːne,,,,,
محل‌های کار,دادگاه,NOUN,dɒːdˈgɒːh,,,,,
محل‌های کار,استودیو,NOUN,estudiˈjo,,,,,
محل‌های کار,چاپخانه,NOUN,tʃɒːpxɒːˈne,,,,,
محل‌های کار,تحریریه,NOUN,tæhɾiːɾiˈje,,,,,
محل‌های کار,بندر,NOUN,bændæɾ,,,,,
محل‌های کار,انتشارات,NOUN,enteʃɒːˈɾɒːt,,,,,
محل‌های کار,ایستگاه,NOUN,iːstˈgɒːh,,,,,
محل‌های کار,گمرک,NOUN,gomɾok,,,,,
محل‌های کار,ترمینال,NOUN,teɾmiːˈnɒːl,,,,,
محل‌های کار,کافه,NOUN,kɒːˈfe,,,,,
محل‌های کار,مغازه,NOUN,mæɣɒːˈze,,,,,
محل‌های کار,آشپزخانه,NOUN,ɒːʃpæzxɒːˈne,,,,,
محل‌های کار,بازار,NOUN,bɒːˈzɒːɾ,,,,,
محل‌های کار,نانوایی,NOUN,nɒːnævɒːˈji,,,,,
محل‌های کار,پاساژ,NOUN,pɒːˈsɒːʒ,,,,,
محل‌های کار,قنادی,NOUN,ɣænɒːˈdi,,,,,
محل‌های کار,نمایشگاه,NOUN,nemɒːjeʃˈgɒːh,,,,,
محل‌های کار,کارگاه,NOUN,kɒːɾˈgɒːh,,,,,
محل‌های کار,کلینیک,NOUN,kliːˈnik,,,,,
محل‌های کار,پالایشگاه,NOUN,palayeshgah,,,,,
محل‌های کار,داروخانه,NOUN,dɒːɾuxɒːˈne,,,,,
محل‌های کار,نیروگاه,NOUN,niːɾuːˈgɒːh,,,,,
محل‌های کار,درمانگاه,NOUN,deɾmɒːnˈgɒːh,,,,,
محل‌های کار,معدن,NOUN,mædæn,,,,,
محل‌های کار,دانشگاه,NOUN,dɒːneʃˈgɒːh,,,,,
محل‌های کار,سازمان,NOUN,sɒːzmɒːn,,,,,
محل‌های کار,آموزشگاه,NOUN,ɒːmuːzeʃˈgɒːh,,,,,
محل‌های کار,شرکت,NOUN,ʃeɾkæt,,,,,
محل‌های کار,دبستان,NOUN,debæsˈtɒːn,,,,,
محل‌های کار,مؤسسه,NOUN,moʔæsˈse,,,,,
محل‌های کار,دبیرستان,NOUN,dæbiːɾesˈtɒːn,,,,,
محل‌های کار,دامداری,NOUN,dɒːmdɒːˈɾi,,,,,
محل‌های کار,مرغداری,NOUN,moɾɣdɒːˈɾi,,,,,
سازها,گیتار,NOUN,gitɒːɾ,,,,,
سازها,پیانو,NOUN,piːɒːˈno,,,,,
سازها,ویولن,NOUN,viːoːˈlæn,,,,,
سازها,باتری,NOUN,bɒːtæˈɾi,,,,,
سازها,فلوت,NOUN,floːt,,,,,
سازها,ترومپت,NOUN,toɾomˈpet,,,,,
سازها,کلارینت,NOUN,klɒːɾiːˈnet,,,,,
سازها,ساکسوفون,NOUN,sɒːksoːˈfon,,,,,
سازها,طبل,NOUN,tæbl,,,,,
سازها,ویولا,NOUN,viːoːˈlɒː,,,,,
سازها,سنتور,NOUN,sæntuːɾ,,,,,
سازها,تار,NOUN,tɒːɾ,,,,,
سازها,سه‌تار,NOUN,seːtɒːɾ,,,,,
سازها,دف,NOUN,dæf,,,,,
سازها,نی,NOUN,niː,,,,,
خانه,دفتر,NOUN,dæfˈtær,,,,,
خانه,صندلی,NOUN,sændæˈli,,,,,
خانه,میز,NOUN,miːz,,,,,
خانه,تخت,NOUN,tæxt,,,,,
خانه,اتاق,NOUN,otɒːɣ,,,,,
خانه,پنل,NOUN,pæˈnæl,,,,,
خانه,درب,NOUN,dæɾb,,,,,
خانه,پنجره,NOUN,pændʒæˈɾe,,,,,
خانه,ورودی,NOUN,voɾuːˈdi,, ,,,
خانه,خانه,NOUN,xɒːˈne,,,,,
خانه,آپارتمان,NOUN,ɒːpɒːɾtˈmɒːn,,,,,
خانه,ساختمان,NOUN,sɒːxtemɒːn,,,,,
خانه,آسانسور,NOUN,ɒːsɒːnsuːɾ,,,,,
خانه,پذیرایی,NOUN,pæziːɾɒːˈji,,,,,
لوازم خانگی,‌لباسشویی,NOUN,lebɒːsʃuːˈji,,,,,
لوازم خانگی,ظرفشویی,NOUN,zæɾfʃuːˈji,,,,,
لوازم خانگی,یخچال,NOUN,jæxtʃɒːl,,,,,
لوازم خانگی,فریزر,NOUN,fɾiːzæɾ,,,,,
لوازم خانگی,اجاق‌,NOUN,edʒɒːɣ,,,,,
لوازم خانگی,فر,NOUN,fæɾ,,,,,
لوازم خانگی,مایکروویو,NOUN,mɒːjkɾoːviːo,,,,,
لوازم خانگی,جاروبرقی,NOUN,dʒɒːɾuːbæɾɣiː,,,,,
لوازم خانگی,پنکه,NOUN,pænkæ,,,,,
لوازم خانگی,کولر,NOUN,kuːlæɾ,,,,,
لوازم خانگی,بخاری,NOUN,boxɒːˈɾi,,,,,
لوازم خانگی,شوفاژ,NOUN,shufazh,,,,,
لوازم خانگی,تلویزیون,NOUN,televiziˈjoːn,,,,,
لوازم خانگی,اتو,NOUN,out,,,,,
لوازم خانگی,هود,NOUN,hud,,,,,
لوازم خانگی,سشوار,NOUN,seshvar,,,,,
ابزارها,چکش,NOUN,tʃækæʃ,,,,,
ابزارها,انبردست,NOUN,anbordast,,,,,
ابزارها,آچار,NOUN,ɒːtʃɒːɾ,,,,,
ابزارها,اره,NOUN,æɾe,,,,,
ابزارها,قیچی,NOUN,ɣeːtʃiː,,,,,
ابزارها,چاقو,NOUN,tʃɒːɣuː,,,,,
ابزارها,رنده,NOUN,rande,,,,,
ابزارها,سوهان,NOUN,sohan,,,,,
ابزارها,دریل,NOUN,dereyl,,,,,
ابزارها,مته,NOUN,mate,,,,,
ابزارها,پیچ,NOUN,piːtʃ,,,,,
ابزارها,میخ,NOUN,miːx,,,,,
ابزارها,کلنگ,NOUN,kolæng,,,,,
ابزارها,بیل,NOUN,biːl,,,,,
ابزارها,تبر,NOUN,tæbæɾ,,,,,
ابزارها,داس,NOUN,dɒːs,,,,,
ابزارها,متر,NOUN,metɾ,,,,,
ابزارها,خط‌کش,NOUN,xætkesh,,,,,
ابزارها,تراز,NOUN,tæraz,,,,,
جغرافیا,طبیعت,NOUN,tæbiːˈæt,,,,,
جغرافیا,دشت,NOUN,dasht,,,,,
جغرافیا,جنگل,NOUN,dʒængæl,,,,,
جغرافیا,بیابان,NOUN,biːɒːˈbɒːn,,,,,
جغرافیا,ساحل,NOUN,sɒːhel,,,,,
جغرافیا,رودخانه,NOUN,rudxane,,,,,
جغرافیا,دریاچه,NOUN,dæryache,,,,,
جغرافیا,تالاب,NOUN,talab,,,,,
جغرافیا,اقیانوس,NOUN,oghyanus,,,,,
جغرافیا,دریا,NOUN,dæɾjɒː,,,,,
جغرافیا,کوه,NOUN,kuːh,,,,,
جغرافیا,تپه,NOUN,tæppe,,,,,
جغرافیا,کوهستان,NOUN,kuhestan,,,,,
جغرافیا,دره,NOUN,dæɾe,,,,,
جغرافیا,آتشفشان,NOUN,atashfeshan,,,,,
جغرافیا,جزیره,NOUN,dʒæziːˈɾe,,,,,
جغرافیا,قاره,NOUN,ɣɒːˈɾe,,,,,
جغرافیا,غار,NOUN,ɣɒːɾ,,,,,
جغرافیا,آبشار,NOUN,ɒːbʃɒːɾ,,,,,
جغرافیا,فلات,NOUN,fælat,,,,,
جغرافیا,خلیج,NOUN,xæliːdʒ,,,,,
جغرافیا,تنگه,NOUN,tænge,,,,,
جغرافیا,قطب,NOUN,ɣotb,,,,,
جغرافیا,کانال,NOUN,kɒːnɒːl,,,,,
جغرافیا,چمنزار,NOUN,tʃæmænzɒːɾ,,,,,
مردم,بشریت,NOUN,bashariat,,,,,
مردم,انسان,NOUN,ensan,,,,,
مردم,شخص,NOUN,shaxs,,,,,
مردم,مرد,NOUN,mard,,,,,
مردم,زن,NOUN,zan,,,,,
مردم,نوزاد,NOUN,nuːzɒːd,,,,,
مردم,دختر,NOUN,dexeter,,,,,
مردم,پسر,NOUN,peser,,,,,
مردم,نوجوان,NOUN,nuːdʒuːɒːn,,,,,
مردم,بالغ,NOUN,bɒːleɣ,,,,,
مردم,سالمند,NOUN,sɒːlemened,,,,,
مردم,بانو,NOUN,bɒːnuː,,,,,
مردم,آقا,NOUN,ɒːqɒː,,,,,
مردم,خانم,NOUN,xɒːnem,,,,,
مردم,جنتلمن,NOUN,dʒenetelemen,,,,,
مردم,بانو,NOUN,bɒːnuː,,,,,
مردم,فرد,NOUN,fered,,,,,
مردم,کودک,NOUN,kuːdek,,,,,
مردم,جمعیت,NOUN,jæmiːyyæt,,,,,
مردم,شهروند,NOUN,sæhrvænd,,,,,
ژانرهای فیلم,علمی,NOUN,elemiː,,,,,
ژانرهای فیلم,اکشن,NOUN,ækeʃen,,,,,
ژانرهای فیلم,ماجراجویی,NOUN,mɒːdʒerɒːdʒuːjiː,,,,,
ژانرهای فیلم,کمدی,NOUN,kemediː,,,,,
ژانرهای فیلم,درام,NOUN,derɒːm,,,,,
ژانرهای فیلم,ترسناک,NOUN,teresenɒːk,,,,,
ژانرهای فیلم,تخیلی,NOUN,texiːliː,,,,,
ژانرهای فیلم,فانتزی,NOUN,fɒːneteziː,,,,,
ژانرهای فیلم,عاشقانه,NOUN,ɒːʃeqɒːnee,,,,,
ژانرهای فیلم,هیجان‌انگیز,NOUN,hiːdʒɒːn ɒːneɡiːz,,,,,
ژانرهای فیلم,معمایی,NOUN,meemɒːjiː,,,,,
ژانرهای فیلم,جنایی,NOUN,dʒenɒːjiː,,,,,
ژانرهای فیلم,تاریخی,NOUN,tɒːriːxiː,,,,,
ژانرهای فیلم,جنگی,NOUN,dʒeneɡiː,,,,,
ژانرهای فیلم,وسترن,NOUN,uːseteren,,,,,
ژانرهای فیلم,موزیکال,NOUN,muːziːkɒːl,,,,,
ژانرهای فیلم,مستند,NOUN,mesetened,,,,,
ژانرهای فیلم,انیمیشن,NOUN,æniːmiːʃen,,,,,
ژانرهای فیلم,خانوادگی,NOUN,xɒːnuːɒːdeɡiː,,,,,
ژانرهای فیلم,زندگی‌نامه‌ای,NOUN,zenedeɡj nɒːmeh ɒːiː,,,,,
ژانرهای فیلم,ورزشی,NOUN,uːrezeʃiː,,,,,
ژانرهای فیلم,آخرالزمانی,NOUN,ɒːxerɒːlezemɒːniː,,,,,
ژانرهای فیلم,ابرقهرمانی,NOUN,æbereqehremɒːniː,,,,,
ژانرهای فیلم,اجتماعی,NOUN,ædʒetemɒːiː,,,,,
خانواده,خانواده,NOUN,xɒːnuːɒːdee,,,,,
خانواده,دوست,NOUN,duːset,,,,,
خانواده,آشنا,NOUN,ɒːʃenɒː,,,,,
خانواده,همکار,NOUN,hmekɒːr,,,,,
خانواده,زوج,NOUN,zuːdʒ,,,,,
خانواده,زن,NOUN,zen,,,,,
خانواده,همسر,NOUN,hmeser,,,,,
خانواده,شوهر,NOUN,ʃuːhr,,,,,
خانواده,ازدواج,NOUN,æzeduːɒːdʒ,,,,,
خانواده,عشق,NOUN,eʃeq,,,,,
خانواده,پدر,NOUN,peder,,,,,
خانواده,مادر,NOUN,mɒːder,,,,,
خانواده,خواهر,NOUN,xuːɒːhr,,,,,
خانواده,برادر,NOUN,berɒːder,,,,,
خانواده,دختر,NOUN,dexeter,,,,,
خانواده,پسر,NOUN,peser,,,,,
